"imp_i","imp_j","m2","r"
6,91,0.005912,0.997039
6,92,0.006642,0.996674
6,93,0.014413,0.992767
6,94,0.006235,0.996878
6,95,0.006056,0.996967
6,96,0.005982,0.997005
6,97,0.005988,0.997001
6,98,0.005626,0.997183
6,99,0.013325,0.993315
6,100,0.013569,0.993192
7,8,0.006278,0.996856
7,9,0.005597,0.997197
7,10,0.006079,0.996956
7,11,0.015901,0.992018
7,12,0.013773,0.993089
7,13,0.008478,0.995752
7,14,0.006241,0.996875
7,15,0.005949,0.997021
7,16,0.01498,0.992482
7,17,0.014249,0.99285
7,18,0.0067,0.996644
7,19,0.006169,0.996911
7,20,0.006018,0.996986
7,21,0.00585,0.997071
7,22,0.005653,0.99717
7,23,0.006359,0.996815
7,24,0.00582,0.997086
7,25,0.006149,0.996921
7,26,0.00596,0.997016
7,27,0.013763,0.993095
7,28,0.006086,0.996952
7,29,0.006052,0.996969
7,30,0.005959,0.997016
7,31,0.006002,0.996994
7,32,0.006035,0.996978
7,33,0.006018,0.996987
7,34,0.013282,0.993337
7,35,0.005985,0.997003
7,36,0.005854,0.997069
7,37,0.006682,0.996654
7,38,0.006004,0.996993
7,39,0.005833,0.997079
7,40,0.013971,0.99299
7,41,0.014483,0.992732
7,42,0.013781,0.993085
7,43,0.014199,0.992875
7,44,0.006108,0.996941
7,45,0.014058,0.992946
7,46,0.013805,0.993073
7,47,0.005935,0.997028
7,48,0.014368,0.99279
7,49,0.014103,0.992923
7,50,0.006754,0.996617
7,51,0.00594,0.997025
7,52,0.013913,0.993019
7,53,0.014321,0.992813
7,54,0.006566,0.996712
7,55,0.006461,0.996764
7,56,0.006364,0.996813
7,57,0.006314,0.996838
7,58,0.014174,0.992888
7,59,0.006276,0.996857
7,60,0.01448,0.992734
7,61,0.013772,0.99309
7,62,0.014705,0.99262
7,63,0.006343,0.996823
7,64,0.014685,0.99263
7,65,0.00609,0.99695
7,66,0.006298,0.996846
7,67,0.006233,0.996878
7,68,0.0058,0.997096
7,69,0.006342,0.996824
7,70,0.006464,0.996763
7,71,0.01332,0.993318
7,72,0.006195,0.996898
7,73,0.006407,0.996791
7,74,0.005568,0.997212
7,75,0.00593,0.99703
7,76,0.005983,0.997004
7,77,0.006032,0.996979
7,78,0.005958,0.997017
7,79,0.006083,0.996954
7,80,0.006461,0.996764
7,81,0.013737,0.993108
7,82,0.006137,0.996927
7,83,0.013678,0.993137
7,84,0.006282,0.996854
7,85,0.006049,0.996971
7,86,0.006227,0.996882
7,87,0.013284,0.993336
7,88,0.013568,0.993193
7,89,0.006414,0.996788
7,90,0.006505,0.996742
7,91,0.006326,0.996832
7,92,0.006302,0.996844
7,93,0.014182,0.992884
7,94,0.006213,0.996889
7,95,0.006152,0.996919
7,96,0.005978,0.997006
7,97,0.006042,0.996974
7,98,0.006231,0.996879
7,99,0.013384,0.993285
7,100,0.013413,0.993271
8,9,0.006364,0.996813
8,10,0.005912,0.99704
8,11,0.017089,0.991419
8,12,0.014521,0.992713
8,13,0.008944,0.995518
8,14,0.006145,0.996923
8,15,0.006234,0.996878
8,16,0.015716,0.992111
8,17,0.015007,0.992468
8,18,0.006017,0.996987
8,19,0.006401,0.996794
8,20,0.005998,0.996996
8,21,0.006388,0.996801
8,22,0.006046,0.996972
8,23,0.006317,0.996837
8,24,0.005729,0.997131
8,25,0.006026,0.996982
8,26,0.006163,0.996914
8,27,0.014235,0.992857
8,28,0.006312,0.996839
8,29,0.006214,0.996888
8,30,0.006267,0.996862
8,31,0.006571,0.996709
8,32,0.006458,0.996766
8,33,0.006386,0.996802
8,34,0.013863,0.993044
8,35,0.006012,0.996989
8,36,0.006174,0.996908
8,37,0.006557,0.996716
8,38,0.005966,0.997013
8,39,0.00605,0.99697
8,40,0.014625,0.992661
8,41,0.014831,0.992557
8,42,0.014788,0.992579
8,43,0.014781,0.992582
8,44,0.00596,0.997015
8,45,0.014638,0.992654
8,46,0.014183,0.992883
8,47,0.006065,0.996963
8,48,0.014755,0.992595
8,49,0.014897,0.992523
8,50,0.006186,0.996902
8,51,0.006312,0.996839
8,52,0.014745,0.9926
8,53,0.014899,0.992523
8,54,0.006154,0.996918
8,55,0.006877,0.996556
8,56,0.00621,0.99689
8,57,0.006623,0.996683
8,58,0.01476,0.992592
8,59,0.006339,0.996825
8,60,0.015019,0.992462
8,61,0.014241,0.992854
8,62,0.015588,0.992175
8,63,0.006224,0.996883
8,64,0.015421,0.992259
8,65,0.006032,0.996979
8,66,0.006706,0.996642
8,67,0.006166,0.996912
8,68,0.00627,0.99686
8,69,0.006592,0.996698
8,70,0.006239,0.996876
8,71,0.01402,0.992965
8,72,0.00646,0.996765
8,73,0.006347,0.996821
8,74,0.006303,0.996844
8,75,0.006416,0.996787
8,76,0.006022,0.996984
8,77,0.006949,0.996519
8,78,0.006325,0.996833
8,79,0.00573,0.997131
8,80,0.005941,0.997025
8,81,0.014365,0.992791
8,82,0.006139,0.996926
8,83,0.014193,0.992878
8,84,0.006864,0.996562
8,85,0.006489,0.99675
8,86,0.006133,0.996929
8,87,0.014043,0.992953
8,88,0.014103,0.992923
8,89,0.006485,0.996752
8,90,0.006312,0.996839
8,91,0.006302,0.996844
8,92,0.006827,0.996581
8,93,0.014516,0.992716
8,94,0.006575,0.996707
8,95,0.006126,0.996932
8,96,0.005993,0.996999
8,97,0.005953,0.997019
8,98,0.006271,0.99686
8,99,0.013938,0.993007
8,100,0.013941,0.993005
9,10,0.00615,0.99692
9,11,0.016084,0.991925
9,12,0.013795,0.993078
9,13,0.00831,0.995836
9,14,0.005692,0.99715
9,15,0.005909,0.997041
9,16,0.015082,0.99243
9,17,0.014101,0.992925
9,18,0.00626,0.996865
9,19,0.005762,0.997115
9,20,0.005644,0.997174
9,21,0.006385,0.996802
9,22,0.005797,0.997097
9,23,0.006445,0.996773
9,24,0.005941,0.997025
9,25,0.005824,0.997084
9,26,0.005663,0.997165
9,27,0.014011,0.99297
9,28,0.006093,0.996949
9,29,0.006223,0.996883
9,30,0.005648,0.997172
9,31,0.005973,0.997009
9,32,0.00611,0.996941
9,33,0.006108,0.996941
9,34,0.013333,0.993311
9,35,0.006193,0.996899
9,36,0.005725,0.997133
9,37,0.006525,0.996732
9,38,0.00593,0.997031
9,39,0.006103,0.996944
9,40,0.01403,0.99296
9,41,0.014406,0.992771
9,42,0.013837,0.993058
9,43,0.014035,0.992958
9,44,0.005931,0.99703
9,45,0.014032,0.992959
9,46,0.013743,0.993105
9,47,0.00585,0.997071
9,48,0.014529,0.992709
9,49,0.014227,0.992861
9,50,0.006459,0.996765
9,51,0.005946,0.997022
9,52,0.014342,0.992803
9,53,0.014393,0.992778
9,54,0.00605,0.99697
9,55,0.00634,0.996825
9,56,0.006438,0.996776
9,57,0.006426,0.996782
9,58,0.014304,0.992822
9,59,0.00598,0.997005
9,60,0.014566,0.99269
9,61,0.013931,0.99301
9,62,0.01506,0.992442
9,63,0.006308,0.996841
9,64,0.014935,0.992504
9,65,0.006053,0.996969
9,66,0.006474,0.996758
9,67,0.006079,0.996956
9,68,0.005787,0.997102
9,69,0.006051,0.99697
9,70,0.006369,0.99681
9,71,0.01371,0.993121
9,72,0.006237,0.996877
9,73,0.005907,0.997042
9,74,0.005954,0.997019
9,75,0.005894,0.997049
9,76,0.00588,0.997056
9,77,0.006232,0.996879
9,78,0.005755,0.997118
9,79,0.005589,0.997202
9,80,0.006498,0.996746
9,81,0.013786,0.993083
9,82,0.005854,0.997069
9,83,0.013594,0.99318
9,84,0.006217,0.996887
9,85,0.006167,0.996912
9,86,0.006271,0.99686
9,87,0.013366,0.993295
9,88,0.013658,0.993147
9,89,0.006253,0.996868
9,90,0.006318,0.996836
9,91,0.006226,0.996882
9,92,0.006436,0.996777
9,93,0.01435,0.992799
9,94,0.00575,0.997121
9,95,0.005745,0.997123
9,96,0.005761,0.997116
9,97,0.006209,0.996891
9,98,0.006098,0.996946
9,99,0.013455,0.99325
9,100,0.013389,0.993283
10,11,0.016778,0.991575
10,12,0.014596,0.992675
10,13,0.008495,0.995744
10,14,0.005861,0.997065
10,15,0.00599,0.997
10,16,0.015649,0.992144
10,17,0.014865,0.99254
10,18,0.006274,0.996858
10,19,0.005988,0.997001
10,20,0.00592,0.997036
10,21,0.005947,0.997022
10,22,0.005687,0.997153
10,23,0.006508,0.996741
10,24,0.005467,0.997263
10,25,0.005759,0.997116
10,26,0.005441,0.997276
10,27,0.01438,0.992784
10,28,0.006215,0.996888
10,29,0.005997,0.996997
10,30,0.006073,0.996959
10,31,0.006029,0.996981
10,32,0.006555,0.996717
10,33,0.005851,0.99707
10,34,0.013899,0.993026
10,35,0.005585,0.997203
10,36,0.005921,0.997035
10,37,0.006548,0.996721
10,38,0.005332,0.99733
10,39,0.005521,0.997236
10,40,0.01471,0.992618
10,41,0.01491,0.992517
10,42,0.014742,0.992601
10,43,0.014516,0.992716
10,44,0.005307,0.997343
10,45,0.014428,0.99276
10,46,0.014016,0.992967
10,47,0.005707,0.997143
10,48,0.014628,0.992659
10,49,0.014855,0.992545
10,50,0.006303,0.996844
10,51,0.005976,0.997007
10,52,0.014576,0.992685
10,53,0.014881,0.992531
10,54,0.005802,0.997095
10,55,0.006499,0.996745
10,56,0.006032,0.996979
10,57,0.005988,0.997001
10,58,0.015026,0.992459
10,59,0.005868,0.997062
10,60,0.014826,0.992559
10,61,0.014284,0.992832
10,62,0.015245,0.992348
10,63,0.006066,0.996963
10,64,0.015306,0.992318
10,65,0.005593,0.9972
10,66,0.006025,0.996983
10,67,0.005621,0.997185
10,68,0.005754,0.997119
10,69,0.006402,0.996794
10,70,0.006034,0.996979
10,71,0.013947,0.993002
10,72,0.006275,0.996857
10,73,0.005894,0.997048
10,74,0.005456,0.997268
10,75,0.005704,0.997144
10,76,0.005548,0.997222
10,77,0.006089,0.996951
10,78,0.005765,0.997113
10,79,0.00564,0.997176
10,80,0.006019,0.996986
10,81,0.014332,0.992808
10,82,0.005723,0.997135
10,83,0.014243,0.992853
10,84,0.005634,0.997179
10,85,0.005636,0.997178
10,86,0.005842,0.997075
10,87,0.013959,0.992996
10,88,0.014161,0.992894
10,89,0.006504,0.996742
10,90,0.006148,0.996921
10,91,0.006147,0.996922
10,92,0.00605,0.99697
10,93,0.014716,0.992615
10,94,0.006062,0.996965
10,95,0.005805,0.997093
10,96,0.005416,0.997288
10,97,0.006012,0.99699
10,98,0.006003,0.996994
10,99,0.01396,0.992996
10,100,0.013864,0.993044
11,12,0.00488,0.997557
11,13,0.009078,0.995451
11,14,0.016746,0.991592
11,15,0.01623,0.991852
11,16,0.004809,0.997593
11,17,0.004876,0.997559
11,18,0.016325,0.991804
11,19,0.015797,0.99207
11,20,0.0165,0.991716
11,21,0.016487,0.991722
11,22,0.016233,0.99185
11,23,0.017319,0.991303
11,24,0.016854,0.991537
11,25,0.016597,0.991667
11,26,0.016019,0.991958
11,27,0.004817,0.997589
11,28,0.016585,0.991673
11,29,0.016691,0.991619
11,30,0.015962,0.991987
11,31,0.016301,0.991816
11,32,0.016592,0.991669
11,33,0.016769,0.99158
11,34,0.005153,0.99742
11,35,0.016249,0.991842
11,36,0.016504,0.991714
11,37,0.016106,0.991914
11,38,0.016854,0.991537
11,39,0.016857,0.991536
11,40,0.004821,0.997587
11,41,0.004834,0.99758
11,42,0.005185,0.997404
11,43,0.004981,0.997506
11,44,0.016437,0.991747
11,45,0.005263,0.997365
11,46,0.005025,0.997484
11,47,0.016198,0.991868
11,48,0.005195,0.997399
11,49,0.005114,0.99744
11,50,0.016716,0.991607
11,51,0.016626,0.991652
11,52,0.004903,0.997545
11,53,0.005009,0.997492
11,54,0.017197,0.991364
11,55,0.013298,0.993329
11,56,0.016599,0.991666
11,57,0.016411,0.99176
11,58,0.004952,0.997521
11,59,0.01699,0.991469
11,60,0.005047,0.997473
11,61,0.004781,0.997607
